intent,question,response
food_nutrition_query,Calories in Lem-o-gin?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Lem-o-gin healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Lem-o-gin,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Lem-o-gin?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Lem-o-gin for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Cumin infused water (Jeere/Zeere ka pani)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Cumin infused water (Jeere/Zeere ka pani) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Cumin infused water (Jeere/Zeere ka pani),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Cumin infused water (Jeere/Zeere ka pani)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Cumin infused water (Jeere/Zeere ka pani) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Coco pine cooler?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Coco pine cooler healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Coco pine cooler,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Coco pine cooler?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Coco pine cooler for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Summer cooler?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Summer cooler healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Summer cooler,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Summer cooler?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Summer cooler for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Hot cocoa?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Hot cocoa healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Hot cocoa,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Hot cocoa?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Hot cocoa for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Cold coffee with ice cream?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Cold coffee with ice cream healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Cold coffee with ice cream,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Cold coffee with ice cream?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Cold coffee with ice cream for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Banana milkshake (Kele milkshake)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Banana milkshake (Kele milkshake) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Banana milkshake (Kele milkshake),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Banana milkshake (Kele milkshake)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Banana milkshake (Kele milkshake) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Mango milkshake (Aam milkshake)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Mango milkshake (Aam milkshake) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Mango milkshake (Aam milkshake),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Mango milkshake (Aam milkshake)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Mango milkshake (Aam milkshake) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Pineapple milkshake (Ananas milkshake)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Pineapple milkshake (Ananas milkshake) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Pineapple milkshake (Ananas milkshake),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Pineapple milkshake (Ananas milkshake)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Pineapple milkshake (Ananas milkshake) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Orange milkshake (Narangi milkshake)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Orange milkshake (Narangi milkshake) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Orange milkshake (Narangi milkshake),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Orange milkshake (Narangi milkshake)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Orange milkshake (Narangi milkshake) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Egg nog?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Egg nog healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Egg nog,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Egg nog?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Egg nog for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Sweet Lassi (Meethi lassi)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Sweet Lassi (Meethi lassi) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Sweet Lassi (Meethi lassi),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Sweet Lassi (Meethi lassi)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Sweet Lassi (Meethi lassi) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Lassi (salted)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Lassi (salted) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Lassi (salted),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Lassi (salted)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Lassi (salted) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Cheese and chilli sandwich ?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Cheese and chilli sandwich  healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Cheese and chilli sandwich ,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Cheese and chilli sandwich ?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Cheese and chilli sandwich  for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Egg sandwich (Ande ka sandwich)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Egg sandwich (Ande ka sandwich) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Egg sandwich (Ande ka sandwich),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Egg sandwich (Ande ka sandwich)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Egg sandwich (Ande ka sandwich) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Cucumber sandwich (Kheere ka sandwich)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Cucumber sandwich (Kheere ka sandwich) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Cucumber sandwich (Kheere ka sandwich),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Cucumber sandwich (Kheere ka sandwich)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Cucumber sandwich (Kheere ka sandwich) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Cheese and pineapple sandwich (Cheese aur ananas ka sandwich)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Cheese and pineapple sandwich (Cheese aur ananas ka sandwich) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Cheese and pineapple sandwich (Cheese aur ananas ka sandwich)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Cheese and pineapple sandwich (Cheese aur ananas ka sandwich) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Cheese and tomato sandwich (Cheese aur tamatar ke sandwich)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Cheese and tomato sandwich (Cheese aur tamatar ke sandwich) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Cheese and tomato sandwich (Cheese aur tamatar ke sandwich)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Cheese and tomato sandwich (Cheese aur tamatar ke sandwich) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Chicken sandwich?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Chicken sandwich healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Chicken sandwich,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Chicken sandwich?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Chicken sandwich for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Rainbow sandwich?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Rainbow sandwich healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Rainbow sandwich,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Rainbow sandwich?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Rainbow sandwich for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Club sandwich ?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Club sandwich  healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Club sandwich ,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Club sandwich ?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Club sandwich  for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Vegetarian club sandwich?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Vegetarian club sandwich healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Vegetarian club sandwich,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Vegetarian club sandwich?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Vegetarian club sandwich for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Pin wheel sandwich?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
