intent,question,response,question_normalized,response_length,has_numbers
food_nutrition_query,Nutrition facts of Raw mango drink (Aam panna),"For detailed nutritional information about Raw mango drink (Aam panna), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of raw mango drink aam panna,286,True
food_nutrition_query,How much protein is in Raw mango drink (Aam panna)?,"For detailed nutritional information about How much protein is in Raw mango drink (Aam panna), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in raw mango drink aam panna,309,True
food_nutrition_query,Can I eat Raw mango drink (Aam panna) for weight loss?,"For detailed nutritional information about Can I eat Raw mango drink (Aam panna) for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat raw mango drink aam panna for weight loss,312,True
food_nutrition_query,Calories in Fruit Punch (with fresh juices)?,"For detailed nutritional information about Fruit Punch (with fresh juices), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in fruit punch with fresh juices,290,True
food_nutrition_query,Is Fruit Punch (with fresh juices) healthy?,"For detailed nutritional information about Fruit Punch (with fresh juices), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is fruit punch with fresh juices healthy,290,True
food_nutrition_query,Nutrition facts of Fruit Punch (with fresh juices),"For detailed nutritional information about Fruit Punch (with fresh juices), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of fruit punch with fresh juices,290,True
food_nutrition_query,How much protein is in Fruit Punch (with fresh juices)?,"For detailed nutritional information about How much protein is in Fruit Punch (with fresh juices), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in fruit punch with fresh juices,313,True
food_nutrition_query,Can I eat Fruit Punch (with fresh juices) for weight loss?,"For detailed nutritional information about Can I eat Fruit Punch (with fresh juices) for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat fruit punch with fresh juices for weight loss,316,True
food_nutrition_query,Calories in Fruit Punch (with squashes)?,"For detailed nutritional information about Fruit Punch (with squashes), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in fruit punch with squashes,286,True
food_nutrition_query,Is Fruit Punch (with squashes) healthy?,"For detailed nutritional information about Fruit Punch (with squashes), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is fruit punch with squashes healthy,286,True
food_nutrition_query,Nutrition facts of Fruit Punch (with squashes),"For detailed nutritional information about Fruit Punch (with squashes), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of fruit punch with squashes,286,True
food_nutrition_query,How much protein is in Fruit Punch (with squashes)?,"For detailed nutritional information about How much protein is in Fruit Punch (with squashes), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in fruit punch with squashes,309,True
food_nutrition_query,Can I eat Fruit Punch (with squashes) for weight loss?,"For detailed nutritional information about Can I eat Fruit Punch (with squashes) for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat fruit punch with squashes for weight loss,312,True
food_nutrition_query,Calories in Lemonade?,"For detailed nutritional information about Lemonade, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in lemonade,267,True
food_nutrition_query,Is Lemonade healthy?,"For detailed nutritional information about Lemonade, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is lemonade healthy,267,True
food_nutrition_query,Nutrition facts of Lemonade,"For detailed nutritional information about Lemonade, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of lemonade,267,True
food_nutrition_query,How much protein is in Lemonade?,"For detailed nutritional information about How much protein is in Lemonade, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in lemonade,290,True
food_nutrition_query,Can I eat Lemonade for weight loss?,"For detailed nutritional information about Can I eat Lemonade for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat lemonade for weight loss,293,True
food_nutrition_query,Calories in Lem-o-gin?,"For detailed nutritional information about Lem-o-gin, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in lemogin,268,True
food_nutrition_query,Is Lem-o-gin healthy?,"For detailed nutritional information about Lem-o-gin, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is lemogin healthy,268,True
food_nutrition_query,Nutrition facts of Lem-o-gin,"For detailed nutritional information about Lem-o-gin, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of lemogin,268,True
food_nutrition_query,How much protein is in Lem-o-gin?,"For detailed nutritional information about How much protein is in Lem-o-gin, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in lemogin,291,True
food_nutrition_query,Can I eat Lem-o-gin for weight loss?,"For detailed nutritional information about Can I eat Lem-o-gin for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat lemogin for weight loss,294,True
food_nutrition_query,Calories in Cumin infused water (Jeere/Zeere ka pani)?,"For detailed nutritional information about Cumin infused water (Jeere/Zeere ka pani), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in cumin infused water jeerezeere ka pani,300,True
food_nutrition_query,Is Cumin infused water (Jeere/Zeere ka pani) healthy?,"For detailed nutritional information about Cumin infused water (Jeere/Zeere ka pani), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is cumin infused water jeerezeere ka pani healthy,300,True
food_nutrition_query,Nutrition facts of Cumin infused water (Jeere/Zeere ka pani),"For detailed nutritional information about Cumin infused water (Jeere/Zeere ka pani), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of cumin infused water jeerezeere ka pani,300,True
food_nutrition_query,How much protein is in Cumin infused water (Jeere/Zeere ka pani)?,"For detailed nutritional information about How much protein is in Cumin infused water (Jeere/Zeere ka pani), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in cumin infused water jeerezeere ka pani,323,True
food_nutrition_query,Can I eat Cumin infused water (Jeere/Zeere ka pani) for weight loss?,"For detailed nutritional information about Can I eat Cumin infused water (Jeere/Zeere ka pani) for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat cumin infused water jeerezeere ka pani for weight loss,326,True
food_nutrition_query,Calories in Coco pine cooler?,"For detailed nutritional information about Coco pine cooler, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in coco pine cooler,275,True
food_nutrition_query,Is Coco pine cooler healthy?,"For detailed nutritional information about Coco pine cooler, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is coco pine cooler healthy,275,True
food_nutrition_query,Nutrition facts of Coco pine cooler,"For detailed nutritional information about Coco pine cooler, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of coco pine cooler,275,True
food_nutrition_query,How much protein is in Coco pine cooler?,"For detailed nutritional information about How much protein is in Coco pine cooler, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in coco pine cooler,298,True
food_nutrition_query,Can I eat Coco pine cooler for weight loss?,"For detailed nutritional information about Can I eat Coco pine cooler for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat coco pine cooler for weight loss,301,True
food_nutrition_query,Calories in Summer cooler?,"For detailed nutritional information about Summer cooler, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in summer cooler,272,True
food_nutrition_query,Is Summer cooler healthy?,"For detailed nutritional information about Summer cooler, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is summer cooler healthy,272,True
food_nutrition_query,Nutrition facts of Summer cooler,"For detailed nutritional information about Summer cooler, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of summer cooler,272,True
food_nutrition_query,How much protein is in Summer cooler?,"For detailed nutritional information about How much protein is in Summer cooler, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in summer cooler,295,True
food_nutrition_query,Can I eat Summer cooler for weight loss?,"For detailed nutritional information about Can I eat Summer cooler for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat summer cooler for weight loss,298,True
food_nutrition_query,Calories in Hot cocoa?,"For detailed nutritional information about Hot cocoa, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in hot cocoa,268,True
food_nutrition_query,Is Hot cocoa healthy?,"For detailed nutritional information about Hot cocoa, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is hot cocoa healthy,268,True
food_nutrition_query,Nutrition facts of Hot cocoa,"For detailed nutritional information about Hot cocoa, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of hot cocoa,268,True
food_nutrition_query,How much protein is in Hot cocoa?,"For detailed nutritional information about How much protein is in Hot cocoa, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in hot cocoa,291,True
food_nutrition_query,Can I eat Hot cocoa for weight loss?,"For detailed nutritional information about Can I eat Hot cocoa for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat hot cocoa for weight loss,294,True
food_nutrition_query,Calories in Cold coffee with ice cream?,"For detailed nutritional information about Cold coffee with ice cream, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in cold coffee with ice cream,285,True
food_nutrition_query,Is Cold coffee with ice cream healthy?,"For detailed nutritional information about Cold coffee with ice cream, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is cold coffee with ice cream healthy,285,True
food_nutrition_query,Nutrition facts of Cold coffee with ice cream,"For detailed nutritional information about Cold coffee with ice cream, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of cold coffee with ice cream,285,True
food_nutrition_query,How much protein is in Cold coffee with ice cream?,"For detailed nutritional information about How much protein is in Cold coffee with ice cream, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in cold coffee with ice cream,308,True
food_nutrition_query,Can I eat Cold coffee with ice cream for weight loss?,"For detailed nutritional information about Can I eat Cold coffee with ice cream for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat cold coffee with ice cream for weight loss,311,True
food_nutrition_query,Calories in Banana milkshake (Kele milkshake)?,"For detailed nutritional information about Banana milkshake (Kele milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in banana milkshake kele milkshake,292,True
food_nutrition_query,Is Banana milkshake (Kele milkshake) healthy?,"For detailed nutritional information about Banana milkshake (Kele milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is banana milkshake kele milkshake healthy,292,True
food_nutrition_query,Nutrition facts of Banana milkshake (Kele milkshake),"For detailed nutritional information about Banana milkshake (Kele milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of banana milkshake kele milkshake,292,True
food_nutrition_query,How much protein is in Banana milkshake (Kele milkshake)?,"For detailed nutritional information about How much protein is in Banana milkshake (Kele milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in banana milkshake kele milkshake,315,True
food_nutrition_query,Can I eat Banana milkshake (Kele milkshake) for weight loss?,"For detailed nutritional information about Can I eat Banana milkshake (Kele milkshake) for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat banana milkshake kele milkshake for weight loss,318,True
food_nutrition_query,Calories in Mango milkshake (Aam milkshake)?,"For detailed nutritional information about Mango milkshake (Aam milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in mango milkshake aam milkshake,290,True
food_nutrition_query,Is Mango milkshake (Aam milkshake) healthy?,"For detailed nutritional information about Mango milkshake (Aam milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is mango milkshake aam milkshake healthy,290,True
food_nutrition_query,Nutrition facts of Mango milkshake (Aam milkshake),"For detailed nutritional information about Mango milkshake (Aam milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of mango milkshake aam milkshake,290,True
food_nutrition_query,How much protein is in Mango milkshake (Aam milkshake)?,"For detailed nutritional information about How much protein is in Mango milkshake (Aam milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in mango milkshake aam milkshake,313,True
food_nutrition_query,Can I eat Mango milkshake (Aam milkshake) for weight loss?,"For detailed nutritional information about Can I eat Mango milkshake (Aam milkshake) for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat mango milkshake aam milkshake for weight loss,316,True
food_nutrition_query,Calories in Pineapple milkshake (Ananas milkshake)?,"For detailed nutritional information about Pineapple milkshake (Ananas milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in pineapple milkshake ananas milkshake,297,True
food_nutrition_query,Is Pineapple milkshake (Ananas milkshake) healthy?,"For detailed nutritional information about Pineapple milkshake (Ananas milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is pineapple milkshake ananas milkshake healthy,297,True
food_nutrition_query,Nutrition facts of Pineapple milkshake (Ananas milkshake),"For detailed nutritional information about Pineapple milkshake (Ananas milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of pineapple milkshake ananas milkshake,297,True
food_nutrition_query,How much protein is in Pineapple milkshake (Ananas milkshake)?,"For detailed nutritional information about How much protein is in Pineapple milkshake (Ananas milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in pineapple milkshake ananas milkshake,320,True
food_nutrition_query,Can I eat Pineapple milkshake (Ananas milkshake) for weight loss?,"For detailed nutritional information about Can I eat Pineapple milkshake (Ananas milkshake) for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat pineapple milkshake ananas milkshake for weight loss,323,True
food_nutrition_query,Calories in Orange milkshake (Narangi milkshake)?,"For detailed nutritional information about Orange milkshake (Narangi milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in orange milkshake narangi milkshake,295,True
food_nutrition_query,Is Orange milkshake (Narangi milkshake) healthy?,"For detailed nutritional information about Orange milkshake (Narangi milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is orange milkshake narangi milkshake healthy,295,True
food_nutrition_query,Nutrition facts of Orange milkshake (Narangi milkshake),"For detailed nutritional information about Orange milkshake (Narangi milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of orange milkshake narangi milkshake,295,True
food_nutrition_query,How much protein is in Orange milkshake (Narangi milkshake)?,"For detailed nutritional information about How much protein is in Orange milkshake (Narangi milkshake), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in orange milkshake narangi milkshake,318,True
food_nutrition_query,Can I eat Orange milkshake (Narangi milkshake) for weight loss?,"For detailed nutritional information about Can I eat Orange milkshake (Narangi milkshake) for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat orange milkshake narangi milkshake for weight loss,321,True
food_nutrition_query,Calories in Egg nog?,"For detailed nutritional information about Egg nog, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in egg nog,266,True
food_nutrition_query,Is Egg nog healthy?,"For detailed nutritional information about Egg nog, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is egg nog healthy,266,True
food_nutrition_query,Nutrition facts of Egg nog,"For detailed nutritional information about Egg nog, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of egg nog,266,True
food_nutrition_query,How much protein is in Egg nog?,"For detailed nutritional information about How much protein is in Egg nog, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in egg nog,289,True
food_nutrition_query,Can I eat Egg nog for weight loss?,"For detailed nutritional information about Can I eat Egg nog for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat egg nog for weight loss,292,True
food_nutrition_query,Calories in Sweet Lassi (Meethi lassi)?,"For detailed nutritional information about Sweet Lassi (Meethi lassi), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in sweet lassi meethi lassi,285,True
food_nutrition_query,Is Sweet Lassi (Meethi lassi) healthy?,"For detailed nutritional information about Sweet Lassi (Meethi lassi), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is sweet lassi meethi lassi healthy,285,True
food_nutrition_query,Nutrition facts of Sweet Lassi (Meethi lassi),"For detailed nutritional information about Sweet Lassi (Meethi lassi), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of sweet lassi meethi lassi,285,True
food_nutrition_query,How much protein is in Sweet Lassi (Meethi lassi)?,"For detailed nutritional information about How much protein is in Sweet Lassi (Meethi lassi), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in sweet lassi meethi lassi,308,True
food_nutrition_query,Can I eat Sweet Lassi (Meethi lassi) for weight loss?,"For detailed nutritional information about Can I eat Sweet Lassi (Meethi lassi) for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat sweet lassi meethi lassi for weight loss,311,True
food_nutrition_query,Calories in Lassi (salted)?,"For detailed nutritional information about Lassi (salted), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in lassi salted,273,True
food_nutrition_query,Is Lassi (salted) healthy?,"For detailed nutritional information about Lassi (salted), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is lassi salted healthy,273,True
food_nutrition_query,Nutrition facts of Lassi (salted),"For detailed nutritional information about Lassi (salted), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of lassi salted,273,True
food_nutrition_query,How much protein is in Lassi (salted)?,"For detailed nutritional information about How much protein is in Lassi (salted), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in lassi salted,296,True
food_nutrition_query,Can I eat Lassi (salted) for weight loss?,"For detailed nutritional information about Can I eat Lassi (salted) for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat lassi salted for weight loss,299,True
food_nutrition_query,Calories in Cheese and chilli sandwich ?,"For detailed nutritional information about Cheese and chilli sandwich, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in cheese and chilli sandwich,285,True
food_nutrition_query,Is Cheese and chilli sandwich  healthy?,"For detailed nutritional information about Cheese and chilli sandwich, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is cheese and chilli sandwich  healthy,285,True
food_nutrition_query,Nutrition facts of Cheese and chilli sandwich ,"For detailed nutritional information about Cheese and chilli sandwich, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of cheese and chilli sandwich,285,True
food_nutrition_query,How much protein is in Cheese and chilli sandwich ?,"For detailed nutritional information about How much protein is in Cheese and chilli sandwich, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in cheese and chilli sandwich,308,True
food_nutrition_query,Can I eat Cheese and chilli sandwich  for weight loss?,"For detailed nutritional information about Can I eat Cheese and chilli sandwich  for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat cheese and chilli sandwich  for weight loss,312,True
food_nutrition_query,Calories in Egg sandwich (Ande ka sandwich)?,"For detailed nutritional information about Egg sandwich (Ande ka sandwich), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in egg sandwich ande ka sandwich,290,True
